date,unemp_rate,job_openings_index,hires_index,quits_index,cpi_index,real_openings_index,yoy_unemp_rate,yoy_job_openings_index
1976-05-01,7.4,,,,21.807214940262153,,-17.77777777777777,
1976-06-01,7.6,,,,21.92321076441248,,-13.636363636363647,
1976-07-01,7.8,,,,22.039206588562813,,-9.302325581395344,
1976-08-01,7.8,,,,22.15520241271314,,-7.142857142857151,
1976-09-01,7.6,,,,22.271198236863473,,-9.523809523809534,
1976-10-01,7.7,,,,22.387194061013805,,-8.333333333333337,
1976-11-01,7.8,,,,22.46452461044736,,-6.024096385542177,
1976-12-01,7.8,,,,22.580520434597688,,-4.8780487804877986,
1977-01-01,7.5,,,,22.69651625874802,,-5.063291139240511,
1977-02-01,7.6,,,,22.92850790704868,,-1.2987012987013102,
1977-03-01,7.4,,,,23.04450373119901,,-2.631578947368407,
1977-04-01,7.2,,,,23.199164830066117,,-6.493506493506496,
1977-05-01,7.0,,,,23.27649537949967,,-5.405405405405405,
1977-06-01,7.2,,,,23.39249120365,,-5.263157894736836,
1977-07-01,6.9,,,,23.50848702780033,,-11.538461538461531,
1977-08-01,7.0,,,,23.624482851950663,,-10.256410256410254,
1977-09-01,6.8,,,,23.701813401384218,,-10.526315789473683,
1977-10-01,6.8,,,,23.817809225534546,,-11.688311688311693,
1977-11-01,6.8,,,,23.972470324401655,,-12.82051282051282,
1977-12-01,6.4,,,,24.088466148551984,,-17.948717948717942,
1978-01-01,6.4,,,,24.243127247419093,,-14.66666666666666,
1978-02-01,6.3,,,,24.359123071569424,,-17.105263157894733,
1978-03-01,6.3,,,,24.51378417043653,,-14.864864864864868,
1978-04-01,6.1,,,,24.707110544020416,,-15.27777777777779,
1978-05-01,6.0,,,,24.939102192321077,,-14.28571428571429,
1978-06-01,5.9,,,,25.132428565904963,,-18.055555555555557,
1978-07-01,6.2,,,,25.32575493948885,,-10.144927536231885,
1978-08-01,5.9,,,,25.48041603835596,,-15.714285714285714,
1978-09-01,6.0,,,,25.71240768665661,,-11.764705882352944,
1978-10-01,5.8,,,,25.944399334957275,,-14.70588235294118,
1978-11-01,5.9,,,,26.099060433824384,,-13.235294117647056,
1978-12-01,6.0,,,,26.253721532691493,,-6.25,
1979-01-01,5.9,,,,26.48571318099215,,-7.8125,
1979-02-01,5.9,,,,26.75637010400959,,-6.349206349206337,
1979-03-01,5.8,,,,27.027027027027028,,-7.936507936507942,
1979-04-01,5.8,,,,27.297683950044465,,-4.91803278688524,
1979-05-01,5.6,,,,27.607006147778684,,-6.666666666666677,
1979-06-01,5.7,,,,27.9163283455129,,-3.3898305084745783,
1979-07-01,5.7,,,,28.22565054324711,,-8.064516129032262,
1979-08-01,6.0,,,,28.496307466264547,,1.6949152542372836,
1979-09-01,5.9,,,,28.76696438928199,,-1.6666666666666607,
1979-10-01,6.0,,,,29.076286587016202,,3.4482758620689724,
1979-11-01,5.9,,,,29.385608784750417,,0.0,
1979-12-01,6.0,,,,29.733596257201413,,0.0,
1980-01-01,6.3,,,,30.158914279085952,,6.7796610169491345,
1980-02-01,6.3,,,,30.54556702625372,,6.7796610169491345,
1980-03-01,6.3,,,,30.970885048138264,,8.62068965517242,
1980-04-01,6.9,,,,31.280207245872482,,18.965517241379317,
1980-05-01,7.5,,,,31.5895294436067,,33.928571428571445,
1980-06-01,7.6,,,,31.898851641340915,,33.33333333333333,
1980-07-01,7.8,,,,31.937516916057685,,36.8421052631579,
1980-08-01,7.7,,,,32.16950856435835,,28.333333333333343,
1980-09-01,7.5,,,,32.440165487375786,,27.118644067796605,
1980-10-01,7.5,,,,32.749487685110005,,25.0,
1980-11-01,7.5,,,,33.09747515756099,,27.118644067796605,
1980-12-01,7.2,,,,33.40679735529521,,19.999999999999996,
1981-01-01,7.5,,,,33.71611955302943,,19.047619047619047,
1981-02-01,7.4,,,,34.02544175076364,,17.460317460317466,
1981-03-01,7.4,,,,34.2574333990643,,17.460317460317466,
1981-04-01,7.2,,,,34.45075977264818,,4.347826086956519,
1981-05-01,7.5,,,,34.68275142094885,,0.0,
1981-06-01,7.5,,,,34.992073618683065,,-1.3157894736842035,
1981-07-01,7.2,,,,35.37872636585083,,-7.692307692307687,
1981-08-01,7.4,,,,35.64938328886827,,-3.8961038961038974,
1981-09-01,7.6,,,,35.99737076131926,,1.3333333333333197,
1981-10-01,7.9,,,,36.11336658546959,,5.3333333333333455,
1981-11-01,8.3,,,,36.268027684336694,,10.666666666666668,
1981-12-01,8.5,,,,36.384023508487026,,18.055555555555557,
1982-01-01,8.6,,,,36.500019332637365,,14.666666666666671,
1982-02-01,8.9,,,,36.61601515678769,,20.270270270270263,
1982-03-01,9.0,,,,36.61601515678769,,21.62162162162162,
1982-04-01,9.3,,,,36.73201098093802,,29.166666666666675,
1982-05-01,9.4,,,,37.07999845338901,,25.333333333333343,
1982-06-01,9.6,,,,37.50531647527356,,28.000000000000004,
1982-07-01,9.8,,,,37.698642848857446,,36.111111111111114,
1982-08-01,9.8,,,,37.77597339829099,,32.432432432432435,
1982-09-01,10.1,,,,37.77597339829099,,32.89473684210527,
1982-10-01,10.4,,,,37.9306344971581,,31.645569620253156,
1982-11-01,10.8,,,,37.891969222441325,,30.12048192771084,
1982-12-01,10.8,,,,37.77597339829099,,27.05882352941178,
1983-01-01,10.4,,,,37.853303947724555,,20.93023255813955,
1983-02-01,10.4,,,,37.891969222441325,,16.85393258426966,
1983-03-01,10.3,,,,37.9306344971581,,14.44444444444446,
1983-04-01,10.2,,,,38.201291420175544,,9.677419354838701,
1983-05-01,10.1,,,,38.35595251904265,,7.446808510638281,
1983-06-01,10.1,,,,38.43328306847621,,5.208333333333326,
1983-07-01,9.4,,,,38.58794416734331,,-4.081632653061229,
1983-08-01,9.5,,,,38.703939991493634,,-3.0612244897959218,
1983-09-01,9.2,,,,38.81993581564397,,-8.910891089108919,
1983-10-01,8.8,,,,38.974596914511075,,-15.384615384615385,
1983-11-01,8.5,,,,39.09059273866141,,-21.2962962962963,
1983-12-01,8.3,,,,39.20658856281174,,-23.148148148148152,
1984-01-01,8.0,,,,39.47724548582918,,-23.076923076923084,
1984-02-01,7.8,,,,39.67057185941306,,-25.0,
1984-03-01,7.8,,,,39.7865676835634,,-24.271844660194187,
1984-04-01,7.7,,,,39.9412287824305,,-24.50980392156862,
1984-05-01,7.4,,,,40.018559331864054,,-26.732673267326724,
1984-06-01,7.2,,,,40.09588988129761,,-28.712871287128706,
1984-07-01,7.5,,,,40.25055098016471,,-20.21276595744681,
1984-08-01,7.5,,,,40.36654680431504,,-21.052631578947366,
1984-09-01,7.3,,,,40.48254262846538,,-20.65217391304347,
1984-10-01,7.4,,,,40.63720372733248,,-15.909090909090917,
1984-11-01,7.2,,,,40.71453427676603,,-15.294117647058824,
1984-12-01,7.3,,,,40.79186482619959,,-12.048192771084343,
1985-01-01,7.3,,,,40.86919537563315,,-8.750000000000002,
1985-02-01,7.2,,,,41.101187023933804,,-7.692307692307687,
1985-03-01,7.2,,,,41.29451339751769,,-7.692307692307687,
1985-04-01,7.3,,,,41.371843946951245,,-5.1948051948051965,
1985-05-01,7.2,,,,41.4491744963848,,-2.7027027027027084,
1985-06-01,7.4,,,,41.56517032053513,,2.77777777777779,
1985-07-01,7.4,,,,41.642500869968686,,-1.3333333333333308,
1985-08-01,7.1,,,,41.71983141940224,,-5.333333333333334,
1985-09-01,7.1,,,,41.79716196883579,,-2.73972602739726,
1985-10-01,7.1,,,,41.9518230677029,,-4.054054054054069,
1985-11-01,7.0,,,,42.14514944128678,,-2.777777777777779,
1985-12-01,7.0,,,,42.33847581487066,,-4.109589041095885,
1986-01-01,6.7,,,,42.49313691373777,,-8.21917808219178,
1986-02-01,7.2,,,,42.41580636430422,,0.0,
1986-03-01,7.2,,,,42.18381471600355,,0.0,
1986-04-01,7.1,,,,42.02915361713645,,-2.73972602739726,
1986-05-01,7.2,,,,42.14514944128678,,0.0,
1986-06-01,7.2,,,,42.29981054015389,,-2.7027027027027084,
1986-07-01,7.0,,,,42.33847581487066,,-5.405405405405405,
1986-08-01,6.9,,,,42.37714108958744,,-2.8169014084506894,
1986-09-01,7.0,,,,42.53180218845455,,-1.4084507042253502,
1986-10-01,7.0,,,,42.6091327378881,,-1.4084507042253502,
1986-11-01,6.9,,,,42.68646328732166,,-1.4285714285714235,
1986-12-01,6.6,,,,42.84112438618876,,-5.714285714285716,
1987-01-01,6.6,,,,43.07311603448943,,-1.4925373134328401,
1987-02-01,6.6,,,,43.22777713335653,,-8.333333333333337,
1987-03-01,6.6,,,,43.38243823222364,,-8.333333333333337,
1987-04-01,6.3,,,,43.57576460580753,,-11.267605633802813,
1987-05-01,6.3,,,,43.69176042995785,,-12.5,
1987-06-01,6.2,,,,43.88508680354174,,-13.888888888888884,
1987-07-01,6.1,,,,44.00108262769207,,-12.857142857142867,
1987-08-01,6.0,,,,44.19440900127595,,-13.043478260869568,
1987-09-01,5.9,,,,44.34907010014306,,-15.714285714285714,
1987-10-01,6.0,,,,44.4650659242934,,-14.28571428571429,
1987-11-01,5.8,,,,44.61972702316051,,-15.94202898550725,
1987-12-01,5.7,,,,44.69705757259405,,-13.636363636363624,
1988-01-01,5.7,,,,44.85171867146116,,-13.636363636363624,
1988-02-01,5.7,,,,44.92904922089472,,-13.636363636363624,
1988-03-01,5.7,,,,45.04504504504504,,-13.636363636363624,
1988-04-01,5.4,,,,45.315701968062484,,-14.28571428571428,
1988-05-01,5.6,,,,45.431697792212816,,-11.111111111111116,
1988-06-01,5.4,,,,45.6250241657967,,-12.903225806451612,
1988-07-01,5.4,,,,45.81835053938058,,-11.475409836065564,
1988-08-01,5.6,,,,46.01167691296447,,-6.666666666666677,
1988-09-01,5.4,,,,46.205003286548354,,-8.47457627118644,
1988-10-01,5.4,,,,46.35966438541546,,-9.999999999999998,
1988-11-01,5.3,,,,46.514325484282566,,-8.62068965517241,
1988-12-01,5.3,,,,46.668986583149675,,-7.017543859649134,
1989-01-01,5.4,,,,46.86231295673356,,-5.263157894736836,
1989-02-01,5.2,,,,47.01697405560066,,-8.771929824561408,
1989-03-01,5.0,,,,47.24896570390133,,-12.28070175438597,
1989-04-01,5.2,,,,47.59695317635232,,-3.703703703703709,
1989-05-01,5.2,,,,47.82894482465298,,-7.142857142857128,
1989-06-01,5.3,,,,47.98360592352008,,-1.85185185185186,
1989-07-01,5.2,,,,48.1382670223872,,-3.703703703703709,
1989-08-01,5.2,,,,48.1382670223872,,-7.142857142857128,
1989-09-01,5.3,,,,48.25426284653753,,-1.85185185185186,
1989-10-01,5.3,,,,48.486254494838185,,-1.85185185185186,
1989-11-01,5.4,,,,48.67958086842207,,1.8867924528301883,
1989-12-01,5.4,,,,48.834241967289174,,1.8867924528301883,
1990-01-01,5.4,,,,49.2982252638905,,0.0,
1990-02-01,5.3,,,,49.49155163747439,,1.9230769230769162,
1990-03-01,5.2,,,,49.723543285775044,,4.0000000000000036,
1990-04-01,5.4,,,,49.83953910992538,,3.8461538461538547,
1990-05-01,5.4,,,,49.91686965935893,,3.8461538461538547,
1990-06-01,5.2,,,,50.22619185709315,,-1.8867924528301772,
1990-07-01,5.5,,,,50.458183505393805,,5.769230769230771,
1990-08-01,5.7,,,,50.883501527278355,,9.615384615384626,
1990-09-01,5.9,,,,51.23148899972934,,11.320754716981153,
1990-10-01,5.9,,,,51.57947647218034,,11.320754716981153,
1990-11-01,6.2,,,,51.69547229633066,,14.814814814814813,
1990-12-01,6.3,,,,51.88879866991455,,16.66666666666665,
1991-01-01,6.4,,,,52.08212504349843,,18.518518518518512,
1991-02-01,6.6,,,,52.120790318215214,,24.52830188679245,
1991-03-01,6.8,,,,52.120790318215214,,30.76923076923077,
1991-04-01,6.7,,,,52.236786142365546,,24.07407407407407,
1991-05-01,6.9,,,,52.430112515949425,,27.777777777777768,
1991-06-01,6.9,,,,52.58477361481654,,32.692307692307686,
1991-07-01,6.8,,,,52.66210416425008,,23.636363636363633,
1991-08-01,6.9,,,,52.81676526311719,,21.052631578947366,
1991-09-01,6.9,,,,52.9714263619843,,16.94915254237288,
1991-10-01,7.0,,,,53.04875691141785,,18.644067796610166,
1991-11-01,7.0,,,,53.280748559718525,,12.903225806451601,
1991-12-01,7.3,,,,53.43540965858562,,15.873015873015884,
1992-01-01,7.3,,,,53.474074933302404,,14.0625,
1992-02-01,7.4,,,,53.590070757452736,,12.121212121212132,
1992-03-01,7.4,,,,53.783397131036615,,8.823529411764719,
1992-04-01,7.4,,,,53.899392955186954,,10.447761194029859,
1992-05-01,7.6,,,,54.01538877933727,,10.144927536231862,
1992-06-01,7.8,,,,54.17004987820439,,13.043478260869556,
1992-07-01,7.7,,,,54.32471097707149,,13.235294117647056,
1992-08-01,7.6,,,,54.44070680122183,,10.144927536231862,
1992-09-01,7.6,,,,54.556702625372154,,10.144927536231862,
1992-10-01,7.3,,,,54.78869427367281,,4.285714285714293,
1992-11-01,7.4,,,,54.943355372539926,,5.714285714285716,
1992-12-01,7.4,,,,55.02068592197348,,1.3698630136986356,
1993-01-01,7.3,,,,55.21401229555737,,0.0,
1993-02-01,7.1,,,,55.330008119707685,,-4.054054054054069,
1993-03-01,7.0,,,,55.40733866914125,,-5.405405405405405,
1993-04-01,7.1,,,,55.60066504272514,,-4.054054054054069,
1993-05-01,7.1,,,,55.755326141592235,,-6.578947368421051,
1993-06-01,7.0,,,,55.79399141630902,,-10.256410256410254,
1993-07-01,6.9,,,,55.871321965742574,,-10.389610389610382,
1993-08-01,6.8,,,,55.9873177898929,,-10.526315789473683,
1993-09-01,6.7,,,,56.06464833932645,,-11.842105263157887,
1993-10-01,6.8,,,,56.2966399876271,,-6.849315068493156,
1993-11-01,6.6,,,,56.45130108649422,,-10.810810810810823,
1993-12-01,6.5,,,,56.56729691064456,,-12.162162162162172,
1994-01-01,6.6,,,,56.56729691064456,,-9.589041095890416,
1994-02-01,6.6,,,,56.72195800951165,,-7.042253521126762,
1994-03-01,6.5,,,,56.87661910837877,,-7.14285714285714,
1994-04-01,6.4,,,,56.915284383095546,,-9.859154929577452,
1994-05-01,6.1,,,,57.03128020724587,,-14.084507042253524,
1994-06-01,6.1,,,,57.18594130611299,,-12.857142857142867,
1994-07-01,6.1,,,,57.379267679696866,,-11.594202898550732,
1994-08-01,6.0,,,,57.61125932799752,,-11.764705882352944,
1994-09-01,5.9,,,,57.72725515214786,,-11.940298507462687,
1994-10-01,5.8,,,,57.76592042686464,,-14.70588235294118,
1994-11-01,5.6,,,,57.92058152573174,,-15.151515151515149,
1994-12-01,5.5,,,,58.036577349882066,,-15.384615384615385,
1995-01-01,5.6,,,,58.19123844874918,,-15.151515151515149,
1995-02-01,5.4,,,,58.345899547616284,,-18.181818181818176,
1995-03-01,5.4,,,,58.461895371766616,,-16.92307692307692,
1995-04-01,5.8,,,,58.69388702006728,,-9.37500000000001,
1995-05-01,5.6,,,,58.80988284421761,,-8.196721311475407,
1995-06-01,5.6,,,,58.925878668367936,,-8.196721311475407,
1995-07-01,5.7,,,,59.00320921780149,,-6.5573770491803245,
1995-08-01,5.7,,,,59.11920504195183,,-4.999999999999993,
1995-09-01,5.6,,,,59.19653559138538,,-5.084745762711873,
1995-10-01,5.5,,,,59.351196690252486,,-5.1724137931034475,
1995-11-01,5.6,,,,59.428527239686034,,0.0,
1995-12-01,5.6,,,,59.505857789119595,,1.8181818181818077,
1996-01-01,5.6,,,,59.815179986853806,,0.0,
1996-02-01,5.5,,,,59.93117581100413,,1.8518518518518379,
1996-03-01,5.5,,,,60.124502184588025,,1.8518518518518379,
1996-04-01,5.6,,,,60.35649383288868,,-3.4482758620689724,
1996-05-01,5.6,,,,60.47248965703902,,0.0,
1996-06-01,5.3,,,,60.58848548118934,,-5.357142857142849,
1996-07-01,5.5,,,,60.70448130533968,,-3.508771929824561,
1996-08-01,5.1,,,,60.781811854773224,,-10.526315789473696,
1996-09-01,5.2,,,,60.9751382283571,,-7.142857142857128,
1996-10-01,5.2,,,,61.168464601941,,-5.454545454545457,
1996-11-01,5.4,,,,61.361790975524876,,-3.5714285714285587,
1996-12-01,5.4,,,,61.51645207439199,,-3.5714285714285587,
1997-01-01,5.3,,,,61.63244789854232,,-5.357142857142849,
1997-02-01,5.2,,,,61.74844372269265,,-5.454545454545457,
1997-03-01,5.2,,,,61.78710899740943,,-5.454545454545457,
1997-04-01,5.1,,,,61.82577427212621,,-8.92857142857143,
1997-05-01,4.9,,,,61.82577427212621,,-12.49999999999999,
1997-06-01,5.0,,,,61.94177009627653,,-5.660377358490565,
1997-07-01,4.9,,,,62.01910064571009,,-10.909090909090901,
1997-08-01,4.8,,,,62.173761744577206,,-5.882352941176472,
1997-09-01,4.9,,,,62.3284228434443,,-5.769230769230771,
1997-10-01,4.7,,,,62.44441866759464,,-9.615384615384615,
1997-11-01,4.6,,,,62.52174921702819,,-14.814814814814826,
1997-12-01,4.7,,,,62.560414491744964,,-12.962962962962965,
1998-01-01,4.6,,,,62.63774504117852,,-13.20754716981133,
1998-02-01,4.6,,,,62.63774504117852,,-11.538461538461553,
1998-03-01,4.7,,,,62.63774504117852,,-9.615384615384615,
1998-04-01,4.3,,,,62.71507559061207,,-15.686274509803921,
1998-05-01,4.4,,,,62.86973668947918,,-10.204081632653061,
1998-06-01,4.5,,,,62.94706723891274,,-9.999999999999998,
1998-07-01,4.5,,,,63.10172833777984,,-8.163265306122458,
1998-08-01,4.5,,,,63.1790588872134,,-6.25,
1998-09-01,4.6,,,,63.217724161930164,,-6.122448979591855,
1998-10-01,4.5,,,,63.37238526079728,,-4.255319148936176,
1998-11-01,4.4,,,,63.449715810230835,,-4.347826086956507,
1998-12-01,4.4,,,,63.56571163438116,,-6.382978723404253,
1999-01-01,4.3,,,,63.68170745853149,,-6.521739130434778,
1999-02-01,4.4,,,,63.68170745853149,,-4.347826086956507,
1999-03-01,4.2,,,,63.720372733248276,,-10.63829787234043,
1999-04-01,4.3,,,,64.14569075513282,,0.0,
1999-05-01,4.2,,,,64.1843560298496,,-4.545454545454552,
1999-06-01,4.3,,,,64.1843560298496,,-4.444444444444451,
1999-07-01,4.3,,,,64.45501295286704,,-4.444444444444451,
1999-08-01,4.2,,,,64.60967405173413,,-6.666666666666665,
1999-09-01,4.2,,,,64.88033097475157,,-8.695652173913038,
1999-10-01,4.1,,,,64.9963267989019,,-8.888888888888902,
1999-11-01,4.1,,,,65.11232262305225,,-6.818181818181834,
1999-12-01,4.0,,,,65.26698372191935,,-9.090909090909093,
2000-01-01,4.0,,,,65.46031009550323,,-6.976744186046513,
2000-02-01,4.1,,,,65.73096701852067,,-6.818181818181834,
2000-03-01,4.0,,,,66.11761976568845,,-4.761904761904767,
2000-04-01,3.8,,,,66.07895449097167,,-11.627906976744185,
2000-05-01,4.0,,,,66.19495031512199,,-4.761904761904767,
2000-06-01,4.0,,,,66.58160306228976,,-6.976744186046513,
2000-07-01,4.0,,,,66.77492943587364,,-6.976744186046513,
2000-08-01,4.1,,,,66.77492943587364,,-2.3809523809523947,
2000-09-01,3.9,,,,67.12291690832464,,-7.142857142857151,
2000-10-01,3.9,,,,67.23891273247496,,-4.8780487804877986,
2000-11-01,3.9,,,,67.35490855662529,,-4.8780487804877986,
2000-12-01,3.9,75.95163457232422,91.17795328516216,82.64984227129337,67.5095696554924,112.50498997388439,-2.500000000000002,
2001-01-01,4.2,78.1310643379609,96.15190724248025,93.05993690851734,67.89622240266017,115.07424356336462,5.000000000000004,
2001-02-01,4.2,76.0859829825347,89.11107376911444,87.55377114998566,68.05088350152728,111.80748737939176,2.4390243902439046,
2001-03-01,4.3,71.08523660247799,92.89195093261637,87.58244909664468,68.08954877624406,104.39962942929519,7.499999999999996,
2001-04-01,4.4,68.89087923570682,87.44748781717358,90.70834528247778,68.20554460039439,101.00480780459668,15.789473684210531,
2001-05-01,4.3,66.05463502015226,90.9090909090909,85.83309435044451,68.55353207284539,96.35482377474325,7.499999999999996,
2001-06-01,4.5,65.09926854754441,85.85111745925055,82.53513048465729,68.70819317171248,94.74746102673839,12.5,
2001-07-01,4.6,66.38304224511121,88.11964375735171,84.51390880412963,68.59219734756216,96.77929095745834,14.999999999999991,
2001-08-01,4.9,60.06866696521869,87.7667618887582,83.96902781760825,68.59219734756216,87.5736152041404,19.512195121951237,
2001-09-01,5.0,60.770264218540085,83.24651319106032,77.51648981932894,68.86285427057959,88.24825061673792,28.205128205128215,
2001-10-01,5.3,55.33661740558292,85.33019660561251,80.1548609119587,68.6695278969957,80.58394909688013,35.897435897435905,
2001-11-01,5.5,56.35169428272877,82.5743572508822,73.41554344708919,68.63086262227893,82.10838699911068,41.025641025641036,
2001-12-01,5.7,54.888789371548,81.1460258780037,73.38686550043016,68.59219734756216,80.0219142906621,46.15384615384617,-27.731918238993693
2002-01-01,5.7,55.217196596506945,81.58292723911947,81.58875824490967,68.70819317171248,80.3647920976623,35.71428571428572,-29.32747420710737
2002-02-01,5.7,51.291237498134045,80.67551671987901,73.75967880699741,68.82418899586281,74.52501547271017,35.71428571428572,-32.58779674318226
2002-03-01,5.7,53.91849529780565,79.07914636195598,71.4941210209349,69.0175153694467,78.12291562392983,32.558139534883736,-24.149517009659803
2002-04-01,5.9,51.81370353784147,82.80961182994456,75.25093203326641,69.32683756718092,74.7383053318011,34.09090909090908,-24.788732394366196
2002-05-01,5.8,51.6047171219585,81.61653503612838,72.75595067393175,69.40416811661447,74.35391637466365,34.883720930232556,-21.87570621468926
2002-06-01,5.8,50.9329750709061,81.81818181818183,72.32578147404645,69.44283339133125,73.34518564915615,28.888888888888875,-21.76106397615226
2002-07-01,5.8,50.26123301985371,83.1120820030247,73.44422139374821,69.59749449019836,72.21701497735981,26.086956521739136,-24.286035529570494
2002-08-01,5.7,52.50037319002836,81.85178961519073,73.44422139374821,69.79082086378224,75.22532697028828,16.326530612244895,-12.599403578528822
